expression,reading,meaning,tags,guid,vietnamese_definition
署名,しょめい,signature,JLPT JLPT_2 JLPT_3,"C)w4*u^eJ,",chữ ký
書物,しょもつ,books,JLPT JLPT_2 JLPT_3,dsq%HW0O`l,sách
女優,じょゆう,actress,JLPT JLPT_2 JLPT_3,g6/0nLbYEk,nữ diễn viên
処理,しょり,"processing, treatment, disposition",JLPT JLPT_2 JLPT_3,"n-}WPF,.CB",quá trình
書類,しょるい,"documents, official papers",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14 Genki_Ln.22 Genki,Ehj{.OHy`#,tài liệu
知らせ,しらせ,notice,JLPT JLPT_2 JLPT_3,tE;LJdiq{b,Để ý
尻,しり,"buttocks, bottom",JLPT JLPT_2 JLPT_3,Cp-T01W>>7,mông
知合い,しりあい,acquaintance,JLPT JLPT_2 JLPT_3,Jz(h+XVbH4,người quen
印,しるし,mark; symbol; evidence,JLPT JLPT_2 JLPT_3,F?8:NFp=(i,in
城,しろ,castle,JLPT JLPT_2 JLPT_3,GnhkX+7b^.,thành phố
進学,しんがく,going on to university,JLPT JLPT_2 JLPT_3,p#!GLXFzk~,Giáo dục nâng cao
神経,しんけい,"nerve, sensitivity",JLPT JLPT_2 JLPT_3,"mz&,NqxuZ0",dây thần kinh
真剣,しんけん,"seriousness, earnestness",JLPT JLPT_2 JLPT_3,PuRLKa9@q(,Nghiêm trọng
信仰,しんこう,"(religious) faith, belief",JLPT JLPT_2 JLPT_3,g~oH1SUq[>,Sự tin tưởng
信号,しんごう,"traffic lights, signal, semaphore",JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki,z?zKX+/#?f,Tín hiệu
人工,じんこう,"artificial, man made, human work,",JLPT JLPT_2 JLPT_3,zQ3t>E=&2U,nhân tạo
深刻,しんこく,serious,JLPT JLPT_2 JLPT_3,Kel_M-JGRX,sâu
診察,しんさつ,medical examination (of a patient),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,Mx*u-x#R2},tư vấn
人種,じんしゅ,race (of people),JLPT JLPT_2 JLPT_3,Mm&n`P$vPl,Loài
信じる,しんじる,to believe,JLPT JLPT_2 JLPT_3,E~EJs-CkJ`,tin tưởng
人生,じんせい,"(human) life (e.g., conception to death)",JLPT JLPT_2 JLPT_3,G{?]K0G%It,Mạng sống
親戚,しんせき,relative(s),Genki_Ln.16 JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Genki,f;-yjmPO85,liên quan đến
新鮮,しんせん,fresh,JLPT JLPT_2 JLPT_3,hgsIFo;k1C,Tươi
心臓,しんぞう,heart,JLPT JLPT_2 JLPT_3,FBeXkqV5hu,trái tim
身体,しんたい,the body,JLPT JLPT_2 JLPT_3,t3y~q`<OO!,Thân hình
身長,しんちょう,"height (of body), stature",JLPT JLPT_2 JLPT_3,v2>$s!00R?,chiều cao
慎重,しんちょう,"careful, prudent, cautious",JLPT JLPT_2 JLPT_3,H{qX;#1p@y,Cẩn thận
審判,しんぱん,"umpire, referee, judgment",JLPT JLPT_2 JLPT_3,"i+^OoCXV,-",Sự thử nghiệm
人物,じんぶつ,"character, personality, talented man",JLPT JLPT_2 JLPT_3,OXSwNDOM:u,nhân vật
進歩,しんぽ,"improvement, progress, development",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,C*Oco$5$I7,tiến triển
親友,しんゆう,"close friend, buddy",JLPT JLPT_2 JLPT_3,e!XKqiS_]u,Họ hàng và bạn bè
信用,しんよう,"confidence, dependence",JLPT JLPT_2 JLPT_3,D_Xu621X(*,Tín dụng
信頼,しんらい,"reliance, trust, confidence",JLPT JLPT_2 JLPT_3,Cc(neZE[/;,lòng tin
心理,しんり,mentality,JLPT JLPT_2 JLPT_3,M4-pHm{8Hp,tâm lý
人類,じんるい,"mankind, humanity",JLPT JLPT_2 JLPT_3,yGfC3NH0c~,Con người
巣,す,"nest, breeding place",JLPT JLPT_2 JLPT_3,wae)m$%B2U,tổ
酢,す,vinegar,JLPT JLPT_2 JLPT_3,S|>MWw8{x,giấm
図,ず,"figure, drawing, illustration",JLPT JLPT_2 JLPT_3,o=i@Vi;`4G,nhân vật
水準,すいじゅん,"level, standard",JLPT JLPT_2 JLPT_3,LrR5Wf1Z7N,mức độ
推薦,すいせん,recommendation,JLPT JLPT_2 JLPT_3,jvDU?eC@&E,gợi ý
スイッチ,スイッチ,switch,JLPT Genki_Ln.18 JLPT_3 JLPT_2 Genki,D+{$1{/[wR,công tắc
睡眠,すいみん,sleep,JLPT JLPT_2 JLPT_3,wh0!*D%WvE,ngủ
数,すう,"number, figure",JLPT JLPT_2 JLPT_3,J]}my?o<Q!,con số
数字,すうじ,"numeral, figure",JLPT JLPT_2 JLPT_3,B[Gra1kO)v,con số
スープ,スープ,(Western) soup,JLPT JLPT_2 JLPT_3,"s,J:5SYdW2",canh
末,すえ,"the end of, powder",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4,EyKo./;AAl,kết thúc
姿,すがた,"figure, shape, appearance",JLPT JLPT_2 JLPT_3,gTn!6ZHkYs,nhân vật
スキー,スキー,ski,JLPT JLPT_3 JLPT_2 Genki_Ln.9 Genki,EDq$^7+uK~,trượt tuyết
救う,すくう,"to rescue from, to help out of",JLPT JLPT_2 JLPT_3,Pzdj_}ruVB,cứu
すくなくとも,すくなくとも,at least,JLPT JLPT_2 JLPT_3,s64aNUZ0&F,Ít nhất
優れる,すぐれる,"to surpass, to outstrip, to excel",JLPT JLPT_2 JLPT_3,"fFuIf,@I[N",Xuất sắc
スケート,スケート,"skate(s), skating",JLPT JLPT_2 JLPT_3,DQ0-nYW7>.,trượt băng
スケジュール,スケジュール,schedule,JLPT JLPT_2 JLPT_3,m}P~NJ788C,lịch trình
少しも,すこしも,"anything of, not one bit",JLPT JLPT_2 JLPT_3,pSmTW}7_?},Không có gì
過ごす,すごす,"to pass, to spend (time)",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,oE9$X-z%xN,tiêu
筋,すじ,"muscle, string, line",JLPT JLPT_2 JLPT_3,M#_TzTBk6],logic
進める,すすめる,"to advance, to promote, to hasten",JLPT JLPT_2 JLPT_3,u2l`IqNk23,Tiếp tục
勧める,すすめる,"to urge (someone) to do (something), to recommend",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,"IBeh,nV1Dt",gợi ý
スター,スター,star,JLPT JLPT_2 JLPT_3,hHJocr{1ix,ngôi sao
スタイル,スタイル,style,JLPT JLPT_2 JLPT_3,wQruLdJqJI,phong cách
スタンド,スタンド,stand,JLPT JLPT_2 JLPT_3,"Qz:R,pd5SR",đứng
頭痛,ずつう,headache,JLPT JLPT_2 JLPT_3,hcxF9uQ5ZX,đau đầu
ずっと,ずっと,for a long time; all the time; consecutively,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5 Genki_Ln.22 Genki,OCoZDHO:^u,mãi mãi
すっぱい,すっぱい,"sour, acid",JLPT JLPT_2 JLPT_3,d)l(J.2Nu=,chua
すてき,すてき,"lovely, great",JLPT JLPT_2 JLPT_3,B~-XSf&NNC,tuyệt vời
既に,すでに,already (same as もう),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,d=:dSSUK:`,đã
すなわち,すなわち,"that is, namely, e.g.",JLPT JLPT_2 JLPT_3,zS=.lQe1_+,Nói cách khác
スピーチ,スピーチ,speech,JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21,pvM3{8vA`1,lời nói
全て,すべて,"all, the whole, entirely",JLPT JLPT_2 JLPT_3,kq!H^iT|N4,tất cả
済ませる,すませる,to be finished,JLPT JLPT_2 JLPT_3,vQUpvSA005,Hoàn thành
角,すみ,corner,JLPT JLPT_2 JLPT_3,b^^N<lR$T],còi
墨,すみ,ink,JLPT JLPT_2 JLPT_3,Pt>IB]Y%[8,mực
すみません (かん),すみません (かん),"sorry, excuse me",JLPT JLPT_2 JLPT_3,Kr6X0TH7=(,Xin lỗi (kan)
澄む,すむ,"to clear (e.g., weather), to become transparent",JLPT JLPT_2 JLPT_3,d^/yYeQD1M,thông thoáng
