expression,reading,meaning,tags,guid,vietnamese_definition
さっき,さっき,a little while ago,Genki Genki_Ln.4 JLPT JLPT_N4,K6.[:IAM|.,cách đây một thời gian
怖い,こわい,"scary, frightening",Genki Genki_Ln.5 JLPT JLPT_N4,oO+f.U&hT(,sợ hãi
包む,つつむ,"to wrap, to cover",Genki Genki_Ln.21 JLPT JLPT_N4,j.kjH)CP:g,bọc
なるべく,なるべく,"if possible, as much as possible",Intermediate_Japanese_Ln.3 JLPT JLPT_N4,N|K[$y_r^[,Càng nhiều càng tốt
無理,むり,"unreasonable, impossible",JLPT JLPT_N4,i]oOmAHlg9,Không thể nào
サンドイッチ,サンドイッチ,sandwich,JLPT JLPT_N4,"Lah$0,$FHs",sandwich
会議室,かいぎしつ,conference room,JLPT JLPT_N4,oxHUFdCY;/,Phòng hội nghị
品物,しなもの,goods,JLPT JLPT_N4,kiGyZq*rIU,hàng hóa
人形,にんぎょう,"doll, figure",JLPT JLPT_N4,vPlJ&v75[Q,BÚP BÊ
利用,りよう,"use, utilization",JLPT JLPT_N4,Rh@8N~e0eQ,sử dụng
飾る,かざる,"to decorate, to adorn",JLPT JLPT_N4,"OaqvYHn98,",trang trí
止める,とめる,to stop (something),JLPT JLPT_N4,uL2<QDM;W:,dừng lại
恥ずかしい,はずかしい,"ashamed, embarrassed",Genki Genki_Ln.18 JLPT JLPT_N4,e$Mth*I+Cg,Xấu hổ
いくら～ても,いくら～ても,however much one may ~,JLPT JLPT_N4,I]og(vfh}t,Cho dù bao nhiêu đi chăng nữa
用事,ようじ,business to take care of; tasks; errands,Genki Genki_Ln.12 JLPT JLPT_N4,p$RznpfpCY,việc kinh doanh
ビル,ビル,(abbr.) building,JLPT JLPT_N4,H[!Yph0[mz,xây dựng
けんかする,けんかする,quarrel,JLPT JLPT_N4,Oc14`ELpiF,trận đánh
頑張る,がんばる,"to try one's best, to try hard, to persist",Genki Genki_Ln.13 JLPT JLPT_N4,Mz@9d9PizL,cố gắng hết sức
投げる,なげる,"to pitch, to cast away",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,"A%8%S+mN,O",ném
故障,こしょうする,breakdown,JLPT JLPT_N4,mP~NCidGL7,Lỗi
力,ちから,"strength, power",JLPT JLPT_N4,t<Fy!4ZXqc,lực lượng
受ける,うける,"to take (an examination, interview, etc.); to receive",JLPT JLPT_N4,d#N;{6r~iD,nhận được
気分,きぶん,"feeling, mood",JLPT JLPT_N4,GJl$1:;vCi,cảm giác
間違える,まちがえる,to make a mistake,Genki Genki_Ln.21 JLPT JLPT_N4,Q5b~VM7IRc,sai lầm
そんな,そんな,"such, like that, that sort of",JLPT JLPT_N4,ei/O3MuiLE,Như là
星,ほし,star,JLPT JLPT_N4,h=LT];WutA,ngôi sao
場合,ばあい,"case, situation",JLPT JLPT_N4,qV-2<HJ$$5,trường hợp
やっと,やっと,"at last, finally",JLPT JLPT_N4,Qf-Nk|9F8D,cuối cùng
足りる,たりる,to be sufficient; to be enough,Genki Genki_Ln.17 Intermediate_Japanese_Ln.4 JLPT JLPT_N4,tSHDO2cb1M,đủ
行う,おこなう,to carry out; to conduct (typically used in written language),Intermediate_Japanese_Ln.3 JLPT JLPT_N4,kSwpIk>RTo,chỉ đạo
ぶどう,ぶどう,grapes,JLPT JLPT_N4,qtf+q-Z+n],quả nho
無くなる,なくなる,"to disappear, to get lost",JLPT JLPT_N4,QEFsGzu!|/,biến mất
準備,じゅんびする,prepare,JLPT JLPT_N4,h&P$N~U6-[,Chuẩn bị
世界,せかい,world,Genki Genki_Ln.10 JLPT JLPT_N4,e<Tae_jQo4,thế giới
住所,じゅうしょ,address; place of residence,JLPT JLPT_N4,fPoS$h^c(u,Địa chỉ
再来月,さらいげつ,the month after next,JLPT JLPT_N4,Zux^JW=t?,tháng sau nữa
林,はやし,"woods, forest",JLPT JLPT_N4,@LWUXw-^>,Rừng
倍,ばい,double,JLPT JLPT_N4,k.0mCWDs+|,gấp đôi
痩せる,やせる,to lose weight,Genki Genki_Ln.7 JLPT JLPT_N4,A[Q-]LV0S:,giảm cân
線,せん,"line, wire",JLPT JLPT_N4,dK0yR1DBK`,Dây điện
戦争,せんそう,war,JLPT JLPT_N4,l@;Cq/&#91,chiến tranh
決める,きめる,to decide (v.t.),Genki Genki_Ln.10 Intermediate_Japanese_Ln.9 JLPT JLPT_N4,p(qb/m`R:b,quyết định
調べる,しらべる,to check; to look up; to inquire; to search,JLPT JLPT_N4,Ov6y=mBwgM,khảo sát
寝坊,ねぼう,sleeping in late,JLPT JLPT_N4,B(>pXN{@@q,Ngủ quên
パパ,パパ,"papa, daddy",JLPT JLPT_N4,v.-(XP=XJY,Bố
光る,ひかる,"to shine, to glitter",JLPT JLPT_N4,xp|/7BLK40,phát sáng
夫,おっと,husband,JLPT JLPT_N4,zDF$wWIUs8,chồng
雲,くも,cloud,JLPT JLPT_N4,"C3Z1{X<H,4",đám mây
坂,さか,"slope, hill",JLPT JLPT_N4,fMGrCf7XcB,độ dốc
～(て) しまう,～(て) しまう,to end up ~,JLPT JLPT_N4,us+Z5ns><g,~(te) shimau
飛行場,ひこうじょう,airport,JLPT JLPT_N4,A2O=3b{hXI,sân bay
柔道,じゅうどう,judo,JLPT JLPT_N4,d[2qz9jnc7,judo
決して,けっして,never,JLPT JLPT_N4,Kd9N)Izj!4,không bao giờ
事務所,じむしょ,office,JLPT JLPT_N4,wxgf%k:fc2,văn phòng
連絡,れんらく,"communication, contact, connection",JLPT JLPT_N4,"v[($g<|S,F",liên hệ
小学校,しょうがっこう,elementary school,Genki Genki_Ln.23 JLPT JLPT_N4,f^*MMB(l>o,trường tiểu học
客,きゃく,"guest, customer",Intermediate_Japanese_Ln.2 JLPT JLPT_N4,xF)V^}awc{,khách hàng
昔,むかし,old days; past,Genki Genki_Ln.21 JLPT JLPT_N4,hUjfJU~9){,từ rất lâu trước đây
美しい,うつくしい,"beautiful, lovely",JLPT JLPT_N4,OB^[>@2T05,xinh đẹp
捨てる,すてる,"throw away (trash), dump, discard",Genki Genki_Ln.15 JLPT JLPT_N4,G;1IJzl`jC,xử lý
なさる,なさる,-- honorific expression for する --,Genki Genki_Ln.19 JLPT JLPT_N4,zj*av$=2pO,LÀM
事,こと,"thing(s), matter(s), fact",Genki Genki_Ln.21 JLPT JLPT_N4,ca&G<Ve~Nx,trường hợp
どんどん,どんどん,quickly and steadily; at a rapid pace,JLPT JLPT_N4,q0h/etzyxE,ngày càng nhiều
試合,しあい,"match, game, competition",Genki Genki_Ln.12 Intermediate_Japanese_Ln.7 JLPT JLPT_N4,Hv/PI<4cqa,trò chơi
適当,てきとう,"fitness, suitability",JLPT JLPT_N4,HX3el]3jvP,thích hợp
素晴らしい,すばらしい,wonderful; terrific,Intermediate_Japanese_Ln.4 JLPT JLPT_N4,Mq|7Xt}rKi,tuyệt vời
美術館,びじゅつかん,"art gallery, art museum",Genki Genki_Ln.11 JLPT JLPT_N4,Lovq=LkX$G,bảo tàng nghệ thuật
文法,ぶんぽう,grammar,Genki Genki_Ln.13 JLPT JLPT_N4,"h2m8,%coR8",ngữ pháp
終わり,おわり,end,JLPT JLPT_N4,j1fvX?gG0M,kết thúc
壁,かべ,wall,JLPT JLPT_N4,um!T&Q*O[?,tường
一度,いちど,"once, one time",JLPT JLPT_N4,z3&2cN)6^e,một lần
お礼,おれい,expression of gratitude; thanking; gift of appreciation; bow,Genki Genki_Ln.19 Intermediate_Japanese_Ln.9 JLPT JLPT_N4,IzFCHK5nu1,Cảm ơn
親切,しんせつ,kindness,JLPT JLPT_N4,lZWRz?K3ET,loại
知らせる,しらせる,to notify,JLPT JLPT_N4,mORr*vy|g/,Thông báo
歯医者,はいしゃ,dentist,JLPT JLPT_N4,"<G@n,w<8p",nha sĩ
熱心,ねっしん,enthusiasm,JLPT JLPT_N4,bLrU`I|/*{,nhiệt tình
始める,はじめる,"to start, to begin",Genki Genki_Ln.8 JLPT JLPT_N4,"g,>$G?*/Q&",bắt đầu
もらう,もらう,to receive,JLPT JLPT_N4,MhXS3i[O39,lấy
泣く,なく,to cry,Genki Genki_Ln.13 JLPT JLPT_N4,wS:0`lVju$,khóc
治る,なおる,to get better; to recover from illness (v.i.),JLPT JLPT_N4,J-V8gKft=&,chữa lành
熱,ねつ,"fever, temperature",Intermediate_Japanese_Ln.3 JLPT JLPT_N4,D9dKTYQi:O,nóng
お祭り,おまつり,festival,JLPT JLPT_N4,n=i-:`LzjX,lễ hội
水道,すいどう,"water service, water line",JLPT JLPT_N4,FV`Tc-%-nK,nguồn cung cấp nước
匂い,におい,"odor, smell",JLPT JLPT_N4,P&q^w6d0fO,mùi
ベル,ベル,bell,JLPT JLPT_N4,D!1f]e)iSX,Chuông
赤ん坊,あかんぼう,baby,JLPT JLPT_N4,I>S)eTr_]B,Đứa bé
おかしい,おかしい,strange; odd; funny,Intermediate_Japanese_Ln.2 JLPT JLPT_N4,O9;m#]XEB2,lạ lùng
事故,じこ,accident,JLPT JLPT_N4,K(yw!r=B:1,tai nạn
変,へん,"strange, odd",JLPT JLPT_N4,e/SMd06F!x,lạ lùng
辞典,じてん,"encyclopedia, reference book",JLPT JLPT_N4,brNC9/_sI`,từ điển
残る,のこる,"to remain (v.i.), to be left",JLPT JLPT_N4,INR^BBo=#J,Còn lại
立てる,たてる,"to stand (something) up, to erect (something)",JLPT JLPT_N4,O9fk.~k_.E,Đứng
くれる,くれる,"to give, to do for",JLPT JLPT_N4,hSC5|:)aVz,Đưa cho
～員,～いん,member of ~,JLPT JLPT_N4,QHO%z16SSs,~thành viên
原因,げんいん,"cause, origin, source",JLPT JLPT_N4,y8<@Y+?o6j,lý do
驚く,おどろく,"to be surprised, to be astonished",Intermediate_Japanese_Ln.8 JLPT JLPT_N4,qBeaklesW+,Ngạc nhiên
いただく,頂く,-- extra-modest expression for たべる and のむ; humble expression for もらう --,Genki Genki_Ln.20 JLPT JLPT_N4,J*KGnzk|Z2,Tôi sẽ
祖母,そぼ,grandmother,JLPT JLPT_N4,x!LCLRW]y2,bà
場所,ばしょ,"place, location",Genki Genki_Ln.23 Intermediate_Japanese_Ln.5 JLPT JLPT_N4,qw3.O}/lOC,địa điểm
答,こたえ,"answer, response",JLPT JLPT_N4,xmTYLgV-T_,trả lời
もちろん,もちろん,"certainly, of course",Genki Genki_Ln.7 Intermediate_Japanese_Ln.5 JLPT JLPT_N4,"m8,NutV2dG",tất nhiên rồi
漬ける,つける,"to soak, to moisten, to pickle",JLPT JLPT_N4,h!i?H{d*F@,Dưa chua
受付,うけつけ,reception(ist) desk,Genki Genki_Ln.22 Intermediate_Japanese_Ln.8 JLPT JLPT_N4,"uraaf1,;7Q",thu nhận
内,うち,"within, inside",JLPT JLPT_N4,G1H0$T!7Vl,Bên trong
スクリーン,スクリーン,screen,JLPT JLPT_N4,"L/njBN,iH6",màn hình
増える,ふえる,"to increase, to multiply",JLPT JLPT_N4,QW.w#0qn}8,tăng
または,または,"or, otherwise",JLPT JLPT_N4,J-^^Uw<Tl~,hoặc
けがする,けがする,"injury (to animate object), hurt",JLPT JLPT_N4,NP:|wpXW(M,bị thương
以下,いか,"less than, below",JLPT JLPT_N4,DS5y_+4p`Y,dưới
選ぶ,えらぶ,to choose; to select,Genki Genki_Ln.17 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,Jo*`4U5e.W,chọn
～ばかり,～ばかり,"just did ~, only",JLPT JLPT_N4,vbW68h-IIc,~chỉ
心,こころ,"heart, mind",JLPT JLPT_N4,Fkhe%Dz2nb,Trái tim
～だす,～だす,to start doing ~,JLPT JLPT_N4,B+=k~owmr!,~dasu
サラダ,サラダ,salad,JLPT JLPT_N4,J3A=]P#ec<,xa lát
届ける,とどける,to deliver (v.t.),Intermediate_Japanese_Ln.9 JLPT JLPT_N4,tA&cXA55C=,giao
挨拶,あいさつする,greet(ing),JLPT JLPT_N4,h|NjvFq!b],lời chào
景色,けしき,"scenery, landscape",JLPT JLPT_N4,Cd#u9/v:Pu,phong cảnh
確か,たしか,"if I remember correctly; certain, definite",Intermediate_Japanese_Ln.4 JLPT JLPT_N4,v&7%T>e{{z,Tôi chắc chắn
ステーキ,ステーキ,steak,JLPT JLPT_N4,K0B$/YQ?Op,bít tết
食料品,しょくりょうひん,"foodstuff, groceries",JLPT JLPT_N4,kg/Pg!K6&w,hàng tạp hóa
森,もり,forest,JLPT JLPT_N4,mJkKf?UAUT,rừng
以内,いない,"within, less (no more) than",JLPT JLPT_N4,EyK>c0C[$K,ở trong
予定,よてい,"plans, arrangement, schedule",Genki Genki_Ln.15 Intermediate_Japanese_Ln.15 JLPT JLPT_N4,I$<#IwHCvW,lịch trình
オーバー,オーバー,"overcoat; over, exceeding, exaggeration",JLPT JLPT_N4,umd4AX=/RI,qua-
乾く,かわく,to get dry,JLPT JLPT_N4,s+Ju<mmF]C,khô
石,いし,stone,JLPT JLPT_N4,gg2=(OnQKh,cục đá
思い出す,おもいだす,"to recall, to remember",Intermediate_Japanese_Ln.8 JLPT JLPT_N4,O?8pX)Ooz*,nhớ
踊る,おどる,to dance,Genki Genki_Ln.9 JLPT JLPT_N4,LnHUFv$!`;,nhảy
