expression,reading,meaning,tags,guid,vietnamese_definition
孤児,こじ,orphan,JLPT_1 JLPT,Nru>c@<pc2,trẻ mồ côi
こじれる,こじれる,"to get complicated, to grow worse",JLPT_1 JLPT,jQE(/ITykr,Phức tap
こす (みずを～),こす (みずを～),"to strain, to filter",JLPT_1 JLPT,P2WNAwMh[2,xoa (nước)
梢,こずえ,treetop,JLPT_1 JLPT,"P{..MI,|Mb",Mẹo
個性,こせい,"individuality, personality, idiosyncrasy",JLPT_1 JLPT,EsL6l#sj?m,nhân cách
戸籍,こせき,"census, family register",JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,JOc{[NV4x8,Sổ đăng ký gia đình
古代,こだい,ancient times,JLPT_1 JLPT,s_N1oO.lmA,Cổ đại
こたつ,こたつ,"table with heater, (originally) charcoal brazier in a floor well",JLPT_1 JLPT,O}EMl{I]K-,Kotatsu
こだわる,こだわる,"to fuss over, to be particular about",JLPT_1 JLPT,Dw-&[Gy8N`,đặc biệt quan tâm đến
誇張,こちょう,exaggeration,JLPT_1 JLPT,c]NsRC|}O%,nói quá
こつ (をつかむ),こつ (をつかむ),"secret, trick, hang",JLPT_1 JLPT,qPHur}V8b$,Để nắm bắt được cách làm
滑稽,こっけい,"funny, humorous, comical",JLPT_1 JLPT,v>_m`mFbvz,buồn cười
国交,こっこう,diplomatic relations,JLPT_1 JLPT,d-(zI.D]7},quan hệ ngoại giao
骨董品,こっとうひん,curio,JLPT_1 JLPT,Dr0mqScf_b,Đồ cổ
固定,こてい,"fixation, fixing (e.g., salary, capital)",JLPT_1 JLPT,g$6E|N|S:$,đã sửa
事柄,ことがら,"matter, thing, affair, circumstance",JLPT_1 JLPT,F=ad!I0A}O,Vấn đề
孤独,こどく,"isolation, loneliness, solitude",JLPT_1 JLPT,"cT&=x,mI2c",Cô đơn
ことごとく,ことごとく,"altogether, entirely",JLPT_1 JLPT,dR[Sxf+^Ps,tất cả
言付け,ことづけ,to leave a message,JLPT_1 JLPT,kU+Y{Q}2@W,tin nhắn
殊に,ことに,"especially, above all",JLPT_1 JLPT,en/8|n9S0h,Đặc biệt là
粉々,こなごな,in very small pieces,JLPT_1 JLPT,Kmg$=%neFc,Tan vỡ
好ましい,このましい,"nice, likable, desirable",JLPT_1 JLPT,x#LKH<P4pQ,ưa thích hơn
碁盤,ごばん,Go board,JLPT_1 JLPT,zlA@Kkn)Y,Bàn cờ vây
個別,こべつ,particular case,JLPT_1 JLPT,IS>`l#g_rF,cá nhân
ごまかす,ごまかす,"to deceive, to falsify, to misrepresent",JLPT_1 JLPT,p$tB:Q(vZY,lừa dối
細やか,こまやか,"meager, modest",JLPT_1 JLPT,w6sGv9Z]7>,Thanh tú
コマーシャル,コマーシャル,a commercial,JLPT_1 JLPT,pmxm=&|P?L,thuộc về thương mại
込める,こめる,"to include, to put into",JLPT_1 JLPT,FCbb2pT+SZ,để đặt
コメント,コメント,comment,JLPT_1 JLPT,cplDpvT[1o,bình luận
籠もる,こもる,"to seclude oneself, to be confined in",JLPT_1 JLPT,KBSxgcpn$F,tách biệt
固有,こゆう,"characteristic, tradition, peculiar",JLPT_1 JLPT,yXV:}D_ozd,Độc nhất
暦,こよみ,"calendar, almanac",JLPT_1 JLPT,jx:{}3HoK:,lịch
凝らす,こらす,"to concentrate, to devote, to peer into",JLPT_1 JLPT,oJEMYEm^we,tập trung
ごらんなさい (かん),ごらんなさい (かん),"look, (please) try to do",JLPT_1 JLPT,N1BBvCZ=AZ,Hãy xem (kan)
孤立,こりつ,"isolation, helplessness",JLPT_1 JLPT,xYDSYkNe4i,cô lập
懲りる,こりる,"to learn by experience, to be disgusted with",JLPT_1 JLPT,vbJg<?=y%j,Hãy rút kinh nghiệm
凝る,こる,"to stiffen, to harden",JLPT_1 JLPT,p)T=z%i7F[,Bị ám ảnh
根気,こんき,"patience; perseverance, energy",JLPT_1 JLPT,GDCM!r*##2,Sự kiên trì
根拠,こんきょ,"basis, foundation",JLPT_1 JLPT,Grg-T-@C<M,cơ sở
混血,こんけつ,"mixed race, mixed parentage",JLPT_1 JLPT,saDmLPZfe~,chủng tộc hỗn hợp
コンタクト (レンズ),コンタクト (レンズ),contact; contact lens,JLPT_1 JLPT,DU{l0`Yee%,Kính áp tròng
昆虫,こんちゅう,"insect, bug",JLPT_1 JLPT,P^F+-mx?ec,côn trùng
根底,こんてい,"root, basis, foundation",JLPT_1 JLPT,g6v%#_YbHK,sự thành lập
混同,こんどう,"confusion, mixing, merger",JLPT_1 JLPT,"M?|],Xch]L",Lú lẫn
コントラスト,コントラスト,contrast,JLPT_1 JLPT,m2RkdF5Kfg,sự tương phản
コントロール,コントロール,control,JLPT_1 JLPT,hZ|i&d%@k8,điều khiển
コンパス,コンパス,compass,JLPT_1 JLPT,L6kv/h{mWx,la bàn
根本,こんぽん,"foundation, root, base",JLPT_1 JLPT,I>Va~AQW*%,cơ bản
財,ざい,"fortune, riches",JLPT_1 JLPT,Lg^]^#Fui$,Sự giàu có
再会,さいかい,"meeting again, reunion",JLPT_1 JLPT,nK{EZH)j58,Đoàn tụ
災害,さいがい,"calamity, disaster, misfortune",JLPT_1 JLPT,s/:E%{jbbX,thảm họa
細菌,さいきん,"bacillus, bacterium, germ",JLPT_1 JLPT,I!s+/_djx3,vi khuẩn
細工,さいく,"work, craftsmanship, trick",JLPT_1 JLPT,ouX.|>$33M,Tay nghề
採掘,さいくつ,mining,JLPT_1 JLPT,Qb&n#ag5.U,khai thác mỏ
サイクル,サイクル,cycle,JLPT_1 JLPT,CwR.:*^K)],xe đạp
採決,さいけつ,"vote, roll call",JLPT_1 JLPT,dGyNtnPzfu,bỏ phiếu
再建,さいけん,(temple or shrine) rebuilding,JLPT_1 JLPT,oY^(hGDwBB,Tái thiết
再現,さいげん,"reproduction, return, revival",JLPT_1 JLPT,j$Iu*3{(HU,Sự sinh sản
財源,ざいげん,"source of funds, resources, finances",JLPT_1 JLPT,gD`:Vm3DD=,Tài trợ
在庫,ざいこ,"stockpile, stock",JLPT_1 JLPT,I`6&P}MLhB,Cổ phần
採算,さいさん,profit,JLPT_1 JLPT,z3sqnTBL(n,Khả năng sinh lời
サイズ,サイズ,size,JLPT_1 JLPT,J0]k_!eDR<,kích cỡ
再生,さいせい,"playback, regeneration, resuscitation",JLPT_1 JLPT,hGl1Th{bx@,sinh sản
財政,ざいせい,"economy, financial affairs",JLPT_1 JLPT,PbUztxpH:],tài chính
最善,さいぜん,the very best,JLPT_1 JLPT,M-1H]L<~pq,Tốt nhất
採択,さいたく,"adoption, selection, choice",JLPT_1 JLPT,e+cLZEXhDr,Được nhận nuôi
栽培,さいばい,cultivation,JLPT_1 JLPT,uC68c<~cH),canh tác
再発,さいはつ,"return, relapse, reoccurrence",JLPT_1 JLPT,CS^Rshk:|8,tái phát
細胞,さいぼう,cell,JLPT_1 JLPT,CzyHns{dm!,tế bào
採用,さいよう,"use, adopt",JLPT_1 JLPT,"vMLF5(iO,d",sử dụng
遮る,さえぎる,"to interrupt, to intercept, to obstruct",JLPT_1 JLPT,QMaal]q?M$,khối
さえずる,さえずる,"to sing, to chirp, to twitter",JLPT_1 JLPT,r@Q>;L$}V-,tiếng hót
冴える,さえる,"to be clear, to be bright, to be skillful",JLPT_1 JLPT,F_K.fXalP!,Sắc
竿,さお,"rod, pole (e.g., for drying laundry)",JLPT_1 JLPT,v^.R1:=Y[p,thanh
栄える,さかえる,"to flourish, to prosper, to thrive",JLPT_1 JLPT,w`<;(n%DdJ,Thịnh vượng
差額,さがく,"balance, difference, margin",JLPT_1 JLPT,gAXt@5CeYh,sự khác biệt
杯,さかずき,wine cup,JLPT_1 JLPT,QIw#3oSw.:,tách
逆立ち,さかだち,"handstand, headstand",JLPT_1 JLPT,ec~&YKW}51,trồng cây chuối
さきに (いぜん),さきに (いぜん),"before, earlier than, previously",JLPT_1 JLPT,uh`5:/)TWv,Trước đây
詐欺,さぎ,"fraud, swindle",JLPT_1 JLPT,w6]yB.g{E!,lừa đảo
削減,さくげん,"cut, reduction",JLPT_1 JLPT,k7zRyZ_D=o,sự giảm bớt
錯誤,さくご,mistake,JLPT_1 JLPT,IDfkC-Cw&L,sai lầm
作戦,さくせん,"military operations, tactics, strategy",JLPT_1 JLPT,s$Xs?1nQ+e,Hoạt động
叫び,さけび,"shout, scream, outcry",JLPT_1 JLPT,nqYX]L]Y*r,la hét
捧げる,ささげる,"to lift up, to give, to offer",JLPT_1 JLPT,KhanDj}|vd,cống hiến
差し掛かる,さしかかる,"to come near to, to approach",JLPT_1 JLPT,IM%WW[zOZk,Đang đến gần
指図,さしず,"instruction, mandate",JLPT_1 JLPT,N1]Ah`4~bh,Hướng dẫn
差し出す,さしだす,"to present, to submit, to hold out",JLPT_1 JLPT,A&xf;%;bo<,giao lại
差し支える,さしつかえる,"to interfere, to hinder",JLPT_1 JLPT,ve>x:VMBVJ,Thật bất tiện.
授ける,さずける,"to grant, to award, to teach",JLPT_1 JLPT,h.+pAO9bEu,ban cho
摩する,さする,"to rub, to stroke",JLPT_1 JLPT,yQu&Wz5|+#,xoa bóp
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),"I am sure, certainly, no doubt",JLPT_1 JLPT,FE`C@V&t[f,Vậy nên (tôi chắc chắn. Tôi chắc chắn)
定まる,さだまる,"to become settled, to be fixed",JLPT_1 JLPT,"Ly=j.,,]V@",sẽ được xác định
定める,さだめる,"to decide, to determine",JLPT_1 JLPT,MNqx6`F)B2,quy định
座談会,ざだんかい,"symposium, round-table discussion",JLPT_1 JLPT,d!+{3%PNo},Thảo luận bàn tròn
雑,ざつ,"rough, crude",JLPT_1 JLPT,PqMu^a?1a^,thô
雑貨,ざっか,"miscellaneous goods, general goods",JLPT_1 JLPT,r5VCxxHAy|,hàng hóa linh tinh
殺人,さつじん,murder,JLPT_1 JLPT,tM%DouVsND,giết
察する,さっする,"to guess, to sense, to judge",JLPT_1 JLPT,LGG(>{BjoV,Để hiểu
雑談,ざつだん,"chatting, idle talk",JLPT_1 JLPT,DK#>y3UE4B,Trò chuyện thông thường
さっと,さっと,"suddenly, smoothly",JLPT_1 JLPT,EKYb(VaO4Q,đột nhiên
さっぱりする,さっぱりする,to refresh,JLPT_1 JLPT,H|ANTa=Wl{,Tươi mát
悟る,さとる,"to attain enlightenment, to understand",JLPT_1 JLPT,v:Q4euCfA7,Để hiểu
最中,さなか,"in the middle of, midst",JLPT_1 JLPT,A!j+&nF3Wn,Monaka
座標,ざひょう,coordinates,JLPT_1 JLPT,B0L0!.A0?},điều phối
さほど,さほど,"not so, not that much",JLPT_1 JLPT,Eqh)/a:JaN,Không hẳn vậy
サボる,サボる,to cut (skip) classes; to loaf on the job; to idle away one's time,JLPT Genki_Ln.11 Intermediate_Japanese JLPT_1 Intermediate_Japanese_Ln.13 Genki,AVLvOaz~KF,lười biếng
様,さま,state; way (a person does something); Mr. or Mrs.,JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11,lj0_)hI7Ez,Ông
寒気,さむけ,"chill, shiver, cold",JLPT_1 JLPT,N#;$qw^KPE,lạnh lẽo
侍,さむらい,samurai,JLPT_1 JLPT Intermediate_Japanese_Ln.7 Intermediate_Japanese,g}?p(/xug4,samurai
さも,さも,"with gusto, with satisfaction",JLPT_1 JLPT,Gm-[^5Ln&h,Vì thế
作用,さよう,"operation, effect, function",JLPT_1 JLPT,"Oof8u=,|uS",tác dụng
さらう (こどもを～),さらう (こどもを～),to kidnap,JLPT_1 JLPT,B@RtBWjh/W,bắt cóc (một đứa trẻ)
障る,さわる,"to hinder, to interfere with, to affect",JLPT_1 JLPT,Di(J(kaH;V,Gây phiền toái
酸,さん,acid,JLPT_1 JLPT,k/LaLYL|r#,axit
山岳,さんがく,mountains,JLPT_1 JLPT,nJs0S#DzgO,Núi
参議院,さんぎいん,House of Councilors,JLPT_1 JLPT,O7n.x?;S]&,Thượng viện
産休,さんきゅう,maternity leave,JLPT_1 JLPT,k`Pzt}i$UW,nghỉ thai sản
サンキュー,サンキュー,thank you,JLPT_1 JLPT,rQ2myGNLp<,Cảm ơn
残金,ざんきん,remaining money,JLPT_1 JLPT,E</lr>b527,Số dư còn lại
産後,さんご,"postpartum, after childbirth",JLPT_1 JLPT,"Pge/h!,u.x",sau sinh
残酷,ざんこく,"cruelty, harshness",JLPT_1 JLPT,snLE.]5(UV,tàn nhẫn
産出,さんしゅつ,"yield, produce",JLPT_1 JLPT,AItAE0vKn;,Năng suất
参照,さんしょう,"reference, consultation, consultation",JLPT_1 JLPT,Q=29PP)W-_,thẩm quyền giải quyết
参上,さんじょう,"calling on, visiting",JLPT_1 JLPT,w#SP~u0yM;,Tôi ở đây
残高,ざんだか,"(bank) balance, remainder",JLPT_1 JLPT,K4gXaj[Vyi,THĂNG BẰNG
サンタクロース,サンタクロース,Santa Claus,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,f/QC`5/{Un,Ông già Noel
桟橋,さんばし,"wharf, jetty, pier",JLPT_1 JLPT,qY2!_v~;bZ,đê
賛美,さんび,"praise, adoration, glorification",JLPT_1 JLPT,e.-RuHb{48,khen
山腹,さんぷく,"hillside, mountainside",JLPT_1 JLPT,o2ZZ0`v<eS,sườn núi
産婦人科,さんふじんか,maternity and gynecology department,JLPT_1 JLPT,C-(.5yIOQP,Sản phụ khoa
産物,さんぶつ,"product, result, fruit",JLPT_1 JLPT,E~s#%JNaV$,sản phẩm
山脈,さんみゃく,mountain range,JLPT_1 JLPT,x1O?:5^y|C,dãy núi
仕上がり,しあがり,"finish, end, completion",JLPT_1 JLPT,yea;?+baU4,hoàn thành
仕上,しあげ,"end, finishing touches",JLPT_1 JLPT,oEx[)E@iYE,Hoàn thành
仕上げる,しあげる,"to finish up, to complete",JLPT_1 JLPT,hK4h`Zw:aS,Hoàn thành
飼育,しいく,"breeding, raising, rearing",JLPT_1 JLPT,e5/Z)LI]cr,Chăn nuôi
強いて,しいて,"to dare, to insist",JLPT_1 JLPT,Bomwd0N#[6,Nếu bị ép buộc
シート,シート,seat; sheet,JLPT_1 JLPT,u]dm-2Z@p[,ghế
ジーパン,ジーパン,jeans,JLPT_1 JLPT,HXr(ew@{F#,quần jean
仕入れる,しいれる,"to lay in stock, to replenish stock, to procure",JLPT_1 JLPT,IFIIG{$W)<,Mua
強いる,しいる,"to force, to compel, to coerce",JLPT_1 JLPT,mim3NgV!o^,bắt buộc
潮,しお,tide,JLPT_1 JLPT,bk[V+Gm9:@,thủy triều
歯科,しか,dentistry,JLPT_1 JLPT,OAZ`Wrx_o9,Nha khoa
自我,じが,"self, ego",JLPT_1 JLPT,b-m;dw=d{Y,bản thân
自覚,じかく,self-conscious,JLPT_1 JLPT,i/]v!LT[`[,Nhận thức về bản thân
仕掛,しかけ,"device, trick, mechanism",JLPT_1 JLPT,Jsems8J4`^,Giải quyết
仕掛ける,しかける,"to lay, to set, to wage",JLPT_1 JLPT,Ac40<_hm$3,Cài đặt
しかしながら,しかしながら,"however, nevertheless",JLPT_1 JLPT,Hq^C6[L3R8,Tuy nhiên
色彩,しきさい,color,JLPT_1 JLPT,G$Z8Bsx{4U,màu sắc
式場,しきじょう,"ceremonial hall, place of ceremony (e.g., marriage)",JLPT_1 JLPT,rHP.1FI!Xg,Địa điểm tổ chức đám cưới
しきたり,しきたり,"custom, conventional practice, tradition",JLPT_1 JLPT,sw_]y<P?Kn,Hải quan
事業,じぎょう,"project, enterprise, business",JLPT_1 JLPT,A#sQ/bEEtj,việc kinh doanh
軽蔑,けいべつ,"scorn, disdain",JLPT_1 JLPT,"lOS,!wvUe[",Sự khinh miệt
経歴,けいれき,"personal history, career",JLPT_1 JLPT,D*n(@DRyq`,Sự nghiệp
経路,けいろ,"course, route, channel",JLPT_1 JLPT,AQ(D;C-S!0,tuyến đường
けがらわしい,けがらわしい,"filthy, unfair",JLPT_1 JLPT,lJNQ&9#g@p,bẩn thỉu
劇団,げきだん,"troupe, theatrical company",JLPT_1 JLPT,%y17:4{hj,Đoàn kịch
激励,げきれい,encouragement,JLPT_1 JLPT,C6/gh1N08I,kích thích
ゲスト,ゲスト,guest,JLPT_1 JLPT,lW>d7fCUoL,khách mời
獣,けだもの,"beast, brute",JLPT_1 JLPT,"o.IW_<j!,1",quái thú
決,けつ,"decision, vote",JLPT_1 JLPT,h7W;[eV_6*,Phán quyết
決意,けつい,"decision, determination",JLPT_1 JLPT,Gg{:k%<AT6,Sự quyết tâm
結核,けっかく,tuberculosis,JLPT_1 JLPT,dB99/5N;ta,bệnh lao
決議,けつぎ,"resolution, vote, decision",JLPT_1 JLPT,tcKhTpRM%o,nghị quyết
結合,けつごう,"combination, union",JLPT_1 JLPT,Q*@FzK(@81,Sự kết hợp
決算,けっさん,"balance sheet, settlement of accounts",JLPT_1 JLPT,z2iqWC-nB~,thanh toán tài khoản
月謝,げっしゃ,monthly tuition fee,JLPT_1 JLPT,t[*0i:*.#i,Học phí hàng tháng
決勝,けっしょう,finals (in sports),JLPT_1 JLPT,NFjb:+3q7*,cuối cùng
結晶,けっしょう,"crystal, crystallization",JLPT_1 JLPT,x*(Q^EE$u3,kết tinh
結成,けっせい,formation,JLPT_1 JLPT,c_%F>ZhYyr,Sự hình thành
結束,けっそく,"union, unity",JLPT_1 JLPT,JdP5@BTWkb,Hoàn thành
げっそり,げっそり,"being disheartened, losing weight",JLPT_1 JLPT,EtlnVvKbZd,Gầy gò
決断,けつだん,"decision, determination",JLPT_1 JLPT,w;j;5-!>6(,phán quyết
月賦,げっぷ,monthly installment,JLPT_1 JLPT,I{X4ZTn7X9,Bài thơ ca ngợi Mặt Trăng
欠乏,けつぼう,shortage,JLPT_1 JLPT,x8kzLzQh~#,thiếu hụt
蹴飛ばす,けとばす,"to kick away, to kick (someone)",JLPT_1 JLPT,b5){X3eg^W,đá
けなす,けなす,to speak ill of,JLPT_1 JLPT,BA]o8V-nRc,chỉ trích
煙たい,けむたい,"smoky, feeling awkward",JLPT_1 JLPT,M_8T~aeKk.,khói
煙る,けむる,"to smoke (e.g., fire)",JLPT_1 JLPT,"O+^L$,-au7",Khói
獣,けもの,"beast, brute",JLPT_1 JLPT,q-7J3|/7Vg,quái thú
家来,けらい,"retainer, retinue, servant",JLPT_1 JLPT,n|b=[)XZ>2,người giữ
